code,rank,feature,weight
lij,27,foscia,0.006075573062583261
lij,28,ciassa,0.0060734224701272325
lij,29,comunitae,0.006020141474685622
lij,30,inta provinsa,0.006013245303727689
lmo,1,cont el,0.006246311901867587
lmo,2,pussee,0.005976091145809549
lmo,3,incoeu,0.00595021364787678
lmo,4,la gesa,0.0058644406743431155
lmo,5,hinn,0.005830834889861687
lmo,6,ind el,0.005755332685623774
lmo,7,gh ha,0.005719744009547127
lmo,8,vun di,0.00569917642314654
lmo,9,gh hann,0.0056522786945686476
lmo,10,hinn staa,0.005540361341348266
lmo,11,vesser,0.0055286026648038505
lmo,12,denter,0.005523591089994373
lmo,13,adree,0.005512180228574283
lmo,14,doperaa,0.005501227312144832
lmo,15,vuna,0.005498624702471508
lmo,16,quell de,0.005490757478887447
lmo,17,quaj,0.005478785940764096
lmo,18,indova che,0.005443693771046012
lmo,19,politegh,0.005430150242638702
lmo,20,despess,0.0054207281140397495
lmo,21,pupart,0.005386316110137119
lmo,22,la pupart,0.005384011128369067
lmo,23,ind la,0.005368444710142026
lmo,24,olter,0.005347668979788844
lmo,25,menter,0.005330419814297561
lmo,26,el gh,0.00532824926428591
lmo,27,poeu,0.005317018380371789
lmo,28,quij,0.005302411958243822
lmo,29,assee,0.005299808530652258
lmo,30,piev,0.005298938535076256
sc,1,istadu,0.007897807189369712
sc,2,fintzas,0.007768592556046427
sc,3,pustis,0.007498778108683597
sc,4,istados,0.007211403474359167
sc,5,tzitade,0.007206842318068626
sc,6,est unu,0.0072019018656496875
sc,7,est istadu,0.007160156373269485
sc,8,prus,0.007136371549802464
sc,9,cun sa,0.007059683371310105
sc,10,pustis de,0.007057155148905087
sc,11,bidda,0.007049097481250559
sc,12,aiant,0.006972323717189988
sc,13,dae sa,0.0069538725308824255
sc,14,in sos,0.006928115722514139
sc,15,pro sa,0.0068406974105290124
sc,16,ateros,0.006832975436686516
sc,17,de is,0.006820281173316863
sc,18,sa tzitade,0.0067821149068589435
sc,19,aiat,0.0067674204194140795
sc,20,comente,0.0067131655590883885
sc,21,agatat,0.00671200930214359
sc,22,est istada,0.006691207291042096
sc,23,numene,0.006675253271266839
sc,24,bividores,0.006665801895485321
sc,25,matessi,0.006652108805095061
sc,26,pro su,0.006640287809551075
sc,27,sa bidda,0.00661468013682914
sc,28,issoro,0.0065830106924063625
sc,29,prus de,0.00656938311014141
sc,30,su mundu,0.006547725656399928
scn,1,di lu,0.007352706949016555
scn,2,sunnu,0.007340488815560881
scn,3,havi,0.006907830246781399
scn,4,quannu,0.0068543106887236785
scn,5,nomu,0.006779976885741214
scn,6,nu cumuni,0.006758203776616121
scn,7,cchiu,0.0066601962159755805
scn,8,di nu,0.006567177577853126
scn,9,abbitanti,0.006565091592409538
scn,10,iddu,0.006438486647681781
scn,11,chiddu,0.006356511896955433
scn,12,nzinu,0.006353786424350932
scn,13,nta lu,0.006324585745292661
scn,14,secunnu,0.006322458040090133
scn,15,fici,0.0063210363756794445
scn,16,unu di,0.006283144308292293
scn,17,chidda,0.006280152746284064
scn,18,stissu,0.006277149798665115
scn,19,cci,0.006274135378439061
scn,20,canzuni,0.006255029758912226
scn,21,lu nomu,0.006240193649216751
scn,22,riggiuni,0.006218619003396847
scn,23,francisi,0.0061804463834037315
scn,24,canzuna,0.006170176951653543
scn,25,chiddi,0.006143011881575306
scn,26,cumuni,0.006135825801750605
scn,27,fu nu,0.006124063579073111
scn,28,famigghia,0.006113953645905298
scn,29,ebbica,0.006096179987254571
scn,30,aviri,0.006095233348227441
vec,1,inte el,0.007383731902797158
vec,2,el xe,0.006183955984406542
vec,3,el ga,0.006066471464794735
vec,4,la xe,0.006031803246680951
vec,5,el ze,0.005976403949056579
vec,6,xe un,0.005960603742822141
vec,7,xe el,0.005835360497352291
vec,8,xe sta,0.005833797958920713
vec,9,xe la,0.00580279548670039
vec,10,dopara,0.005721282378752667
vec,11,xe on,0.005669305567625793
vec,12,ze sta,0.005655311583189396
vec,13,la ga,0.0056524215078466306
vec,14,el zera,0.005648853501850575
vec,15,le ze,0.005633425684702734
vec,16,cofa,0.005551628585636594
vec,17,oncora,0.005529368906536746
vec,18,cualo,0.005496025240621359
vec,19,ghe ze,0.005456216009536175
vec,20,la zera,0.005444881133566419
vec,21,ze el,0.005417415940705542
vec,22,drioman,0.005415716333523506
vec,23,numaro,0.0053772443812258024
vec,24,febraro,0.005338443225613787
vec,25,el ghea,0.005289267841277806
vec,26,la popolasion,0.005265435942326677
vec,27,inte la,0.005251837085805744
vec,28,xe na,0.005249274689602795
vec,29,el secolo,0.005242946320916861
vec,30,el teritorio,0.0052418572013450005
ita,1,del diretto,0.005611958793615467
ita,2,pubblicato nel,0.005398451325630221
ita,3,il titolo,0.005353817786422465
ita,4,della stagione,0.005001728013128647
ita,5,ha iniziato,0.0049160603130166645
ita,6,giocato,0.004902929968680527
ita,7,il campionato,0.004901034169898162
ita,8,pubblicato il,0.0048693972700809595
ita,9,ha ricevuto,0.004866012066004626
ita,10,anno successivo,0.004829167200985954
ita,11,divenne,0.004820664167166998
ita,12,una nuova,0.004816446851313822
ita,13,ha pubblicato,0.004792515588508127
ita,14,della cantante,0.004776854403625283
ita,15,il settembre,0.004753365629629306
ita,16,era stato,0.0047373125473063405
ita,17,il proprio,0.004715448979186253
ita,18,lasciato,0.0046774391162885355
ita,19,il novembre,0.004675370472551449
ita,20,un singolo,0.004663482570256135
ita,21,nel gennaio,0.004656300817536612
ita,22,edizione della,0.004656300817536612
ita,23,ed stato,0.004656300817536612
ita,24,nominato,0.004637320705387407
ita,25,esordito,0.0046372725594267085
ita,26,uscito,0.004634512008475056
ita,27,assegnato,0.004634512008475056
ita,28,nel settembre,0.004606297900726709
ita,29,dichiarato,0.004603413658766342
ita,30,nel corso,0.004602958749893367
spa,1,junto,0.006058056567528345
spa,2,debido,0.006004293006212518
spa,3,aunque,0.00592852302033588
spa,4,junio de,0.00583215514262955
spa,5,comenzo,0.005805930624622141
spa,6,encuentra,0.005789310309005352
spa,7,enero de,0.00578156406434767
spa,8,por su,0.0057808557587635465
spa,9,de junio,0.005764371709254389
spa,10,algunos,0.005762193853414489
spa,11,hacia,0.005755620946545827
spa,12,despues,0.005751266685878378
spa,13,se encuentra,0.005748247480400999
spa,14,septiembre de,0.005739299663887985
spa,15,por los,0.005707871137704761
spa,16,asi como,0.0056839840063622905
spa,17,la alfabetizacion,0.005670916530682492
spa,18,convirtio,0.005656770605899917
spa,19,recibio,0.0056161683559237995
spa,20,se convirtio,0.005601813364635018
spa,21,convirtio en,0.005599998937206687
spa,22,entonces,0.005589937993122116
spa,23,miembro,0.005588093707995607
spa,24,de fue,0.005587169811567549
spa,25,fue el,0.005582532671557058
spa,26,cuenta,0.005572225857068693
spa,27,entre los,0.005570336122582611
spa,28,ubicado,0.005566541883610271
spa,29,ya que,0.005564637327660421
spa,30,mientras que,0.005563683179212455
fra,1,egalement,0.0065957865027177365
fra,2,en et,0.006192251265862797
fra,3,titre,0.0061581890056792285
fra,4,devient,0.006142877634998502
fra,5,notamment,0.00609769812958964
fra,6,remporte,0.006043130959180544
fra,7,ou il,0.005972650834492899
fra,8,la famille,0.005971352625824708
fra,9,la saison,0.005958905110537283
fra,10,situee,0.005923038016994543
fra,11,et mort,0.005881693981435891
fra,12,ensuite,0.005866886408650319
fra,13,etats unis,0.005829308765066637
fra,14,selon,0.005822195164608035
fra,15,publie,0.005819011557720649
fra,16,entre et,0.005812603102248483
fra,17,en elle,0.005806949974148291
fra,18,plus tard,0.0057771768258127335
fra,19,celui,0.005759241418530377
fra,20,de cette,0.005756643485259864
fra,21,ce qui,0.0057064018529301985
fra,22,sa carriere,0.005680907257957278
fra,23,moins,0.005675120928660307
fra,24,se trouve,0.005645492989431702
fra,25,le et,0.005626098171209297
fra,26,apres avoir,0.005622988989406405
fra,27,au cours,0.005620908945555955
fra,28,mois,0.005619866734621262
fra,29,puis,0.005615643776099419
fra,30,famille des,0.005591159466840896
cat,1,altres,0.006827293228244141
cat,2,el seu,0.006811463750800931
cat,3,poblacio,0.006296624591475943
cat,4,mateix,0.0062775530022026295
cat,5,segons,0.006255490825423679
cat,6,tambe,0.00612474242498233
cat,7,els seus,0.006124193308207488
cat,8,aquests,0.006117722718020853
cat,9,alguns,0.006106133784816074
cat,10,despres de,0.006069699022161513
cat,11,va ser,0.006047144299201964
cat,12,aquestes,0.006004469469777404
cat,13,ja que,0.006001549094947067
cat,14,amb els,0.005996263096104379
cat,15,es va,0.0059861262052715684
cat,16,troba,0.005978967991336066
cat,17,entre els,0.005943744336838545
cat,18,del seu,0.005938663223325967
cat,19,es troba,0.005891285339232014
cat,20,la poblacio,0.005881708663318726
cat,21,abans,0.005843559103942831
cat,22,aquesta,0.005840798974985654
cat,23,algunes,0.005836272545830103
cat,24,el terme,0.005834072463598822
cat,25,tots els,0.005797947999049176
cat,26,del poble,0.00579640371852489
cat,27,amb el,0.0057707791706592135
cat,28,anys,0.005764014199315924
cat,29,van ser,0.00574020944674977
cat,30,al seu,0.005734347115173794
deu,1,sowie,0.006424342935569885
deu,2,im jahr,0.006378549954405595
deu,3,von bis,0.006374827976580279
deu,4,bei der,0.006189871780009896
deu,5,ist eine,0.006164115866739316
deu,6,war er,0.006154105134815011
deu,7,war ein,0.006053086871226875
deu,8,nach dem,0.005996839050688084
deu,9,bereits,0.005912745881227411
deu,10,etwa,0.005891438358809022
deu,11,liegt,0.005883534293364099
deu,12,mitglied,0.005878883996254998
deu,13,erhielt,0.005853802411464054
deu,14,gewann,0.005853112498472637
deu,15,wurde die,0.005836357117922165
deu,16,spielte,0.005780626460754085
deu,17,wurden,0.00576090428725007
deu,18,diesem,0.005759763266329168
deu,19,zuruck,0.005754256131495761
deu,20,neben,0.0057407071747512875
deu,21,weitere,0.005734243658220899
deu,22,nachdem,0.005702740331407296
deu,23,zu den,0.0056733599205870565
deu,24,ebenfalls,0.005659116326000238
