method,experiment,variant,model_id,dialect,gold_top3,model_top3,overlap_count,precision_at_3
tfidf,wiki_only,char,tfidf__wiki_only__char,scn,"fra,ita,spa","fra,ita,spa",3,1.0000
tfidf,wiki_only,char,tfidf__wiki_only__char,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
tfidf,wiki_only,word,tfidf__wiki_only__word,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
tfidf,wiki_only,word,tfidf__wiki_only__word,lij,"fra,ita,spa","fra,ita,spa",3,1.0000
tfidf,wiki_only,word,tfidf__wiki_only__word,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
tfidf,wiki_only,word,tfidf__wiki_only__word,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
tfidf,wiki_only,word,tfidf__wiki_only__word,scn,"fra,ita,spa","eng,ita,spa",2,0.6667
tfidf,wiki_only,word,tfidf__wiki_only__word,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
tfidf,wiki,char,tfidf__wiki__char,lmo,"deu,fra,ita",ita,1,0.3333
tfidf,wiki,char,tfidf__wiki__char,sc,"cat,ita,spa",ita,1,0.3333
tfidf,wiki,char,tfidf__wiki__char,scn,"fra,ita,spa",ita,1,0.3333
tfidf,wiki,char,tfidf__wiki__char,vec,"deu,ita,slv",ita,1,0.3333
tfidf,wiki,word,tfidf__wiki__word,lmo,"deu,fra,ita",ita,1,0.3333
tfidf,wiki,word,tfidf__wiki__word,sc,"cat,ita,spa",ita,1,0.3333
tfidf,wiki,word,tfidf__wiki__word,scn,"fra,ita,spa",ita,1,0.3333
tfidf,wiki,word,tfidf__wiki__word,vec,"deu,ita,slv",ita,1,0.3333
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
word2vec,wiki_to_flores_oldi,flores/centroid,word2vec__wiki_to_flores_oldi__flores_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,sc,"cat,ita,spa","fra,ita,spa",2,0.6667
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
word2vec,wiki_to_flores_oldi,oldi/centroid,word2vec__wiki_to_flores_oldi__oldi_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
